자치구기준일,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2022.01.14.00,3929,5696,10006,7078,10182,6554,8088,6138,11031,9233,11943,8965,13427,14553
2022.01.13.00,3909,5666,9962,7046,10153,6534,8053,6117,10995,9205,11896,8902,13374,14501
2022.01.12.00,3897,5638,9928,7027,10124,6507,8021,6105,10955,9171,11832,8859,13293,14435
2022.01.11.00,3890,5592,9883,7011,10086,6424,7968,6086,10915,9137,11762,8797,13193,14363
2022.01.10.00,3880,5570,9848,6990,10062,6409,7941,6073,10895,9116,11730,8753,13121,14322
2022.01.09.00,3863,5547,9805,6973,10033,6401,7915,6052,10882,9092,11694,8720,13072,14267
2022.01.08.00,3846,5515,9759,6946,9996,6372,7875,6028,10849,9066,11653,8680,13023,14199
2022.01.07.00,3830,5491,9720,6925,9970,6342,7837,6003,10824,9032,11601,8639,12955,14150
2022.01.06.00,3807,5455,9684,6907,9932,6321,7800,5983,10777,8988,11559,8590,12881,14089
2022.01.05.00,3784,5427,9630,6877,9889,6286,7769,5953,10719,8956,11502,8543,12806,14012
2022.01.04.00,3764,5388,9564,6844,9826,6250,7724,5917,10673,8919,11453,8489,12706,13933
2022.01.03.00,3747,5365,9532,6807,9797,6222,7690,5893,10645,8884,11406,8457,12649,13873
2022.01.02.00,3726,5346,9494,6784,9765,6185,7654,5868,10610,8864,11371,8416,12585,13812
2022.01.01.00,3700,5311,9459,6739,9712,6161,7609,5835,10559,8829,11313,8370,12528,13730
2021.12.31.00,3671,5274,9385,6695,9663,6110,7570,5795,10507,8791,11265,8311,12452,13634
2021.12.30.00,3649,5236,9313,6637,9602,6066,7514,5755,10429,8739,11196,8260,12366,13525
2021.12.29.00,3626,5203,9250,6560,9535,6023,7464,5715,10353,8674,11120,8191,12282,13405
2021.12.28.00,3593,5167,9152,6494,9428,5971,7409,5661,10266,8601,11043,8120,12215,13319
2021.12.27.00,3570,5139,9091,6450,9393,5946,7371,5636,10224,8560,10992,8087,12148,13237
2021.12.26.00,3542,5108,9030,6391,9315,5902,7318,5599,10182,8510,10915,8031,12079,13121
2021.12.25.00,3504,5074,8947,6327,9245,5848,7237,5548,10100,8434,10830,7965,11996,12974
2021.12.24.00,3478,5042,8875,6260,9144,5789,7155,5507,10000,8346,10749,7881,11892,12847
2021.12.23.00,3435,4989,8778,6167,9058,5707,7085,5465,9906,8247,10647,7790,11777,12658
2021.12.22.00,3388,4932,8666,6076,8923,5625,6986,5419,9778,8156,10516,7703,11636,12491
2021.12.21.00,3357,4862,8548,5996,8763,5551,6878,5358,9655,8054,10391,7594,11500,12346
2021.12.20.00,3331,4816,8464,5915,8613,5493,6834,5315,9596,7960,10292,7533,11380,12244
2021.12.19.00,3336,4781,8362,5836,8538,5436,6758,5263,9532,7887,10189,7464,11285,12091
2021.12.18.00,3308,4728,8247,5773,8439,5386,6692,5201,9427,7801,10093,7363,11153,12026
2021.12.17.00,3272,4675,8134,5679,8306,5296,6613,5120,9316,7705,9960,7243,11027,11843
2021.12.16.00,3243,4620,7972,5577,8178,5200,6535,5029,9191,7604,9821,7154,10881,11663
2021.12.15.00,3199,4550,7825,5497,8055,5112,6444,4959,9080,7518,9674,7044,10719,11540
2021.12.14.00,3150,4489,7692,5406,7946,5001,6338,4851,8949,7393,9497,6929,10591,11288
